English Variable,Category,Sub-Category,Measurement,Formatted
Zone Electric Equipment Lost Heat Energy,Zone,Electric Equipment,Lost Heat Energy,Zone: Electric Equipment: Lost Heat Energy
Zone Electric Equipment Lost Heat Rate,Zone,Electric Equipment,Lost Heat Rate,Zone: Electric Equipment: Lost Heat Rate
Zone Electric Equipment Radiant Heating Energy,Zone,Electric Equipment,Radiant Heating Energy,Zone: Electric Equipment: Radiant Heating Energy
Zone Electric Equipment Radiant Heating Rate,Zone,Electric Equipment,Radiant Heating Rate,Zone: Electric Equipment: Radiant Heating Rate
Zone Electric Equipment Total Heating Energy,Zone,Electric Equipment,Total Heating Energy,Zone: Electric Equipment: Total Heating Energy
Zone Electric Equipment Total Heating Rate,Zone,Electric Equipment,Total Heating Rate,Zone: Electric Equipment: Total Heating Rate
Zone Exterior Windows Total Transmitted Beam Solar Radiation Energy,Zone,Exterior Windows,Total Transmitted Beam Solar Radiation Energy,Zone: Exterior Windows: Total Transmitted Beam Solar Radiation Energy
Zone Exterior Windows Total Transmitted Beam Solar Radiation Rate,Zone,Exterior Windows,Total Transmitted Beam Solar Radiation Rate,Zone: Exterior Windows: Total Transmitted Beam Solar Radiation Rate
Zone Exterior Windows Total Transmitted Diffuse Solar Radiation Energy,Zone,Exterior Windows,Total Transmitted Diffuse Solar Radiation Energy,Zone: Exterior Windows: Total Transmitted Diffuse Solar Radiation Energy
Zone Exterior Windows Total Transmitted Diffuse Solar Radiation Rate,Zone,Exterior Windows,Total Transmitted Diffuse Solar Radiation Rate,Zone: Exterior Windows: Total Transmitted Diffuse Solar Radiation Rate
Zone Gas Equipment Convective Heating Energy,Zone,Gas Equipment,Convective Heating Energy,Zone: Gas Equipment: Convective Heating Energy
Zone Gas Equipment Convective Heating Rate,Zone,Gas Equipment,Convective Heating Rate,Zone: Gas Equipment: Convective Heating Rate
Zone Gas Equipment Latent Gain Energy,Zone,Gas Equipment,Latent Gain Energy,Zone: Gas Equipment: Latent Gain Energy
Zone Gas Equipment Latent Gain Rate,Zone,Gas Equipment,Latent Gain Rate,Zone: Gas Equipment: Latent Gain Rate
Zone Gas Equipment Lost Heat Energy,Zone,Gas Equipment,Lost Heat Energy,Zone: Gas Equipment: Lost Heat Energy
Zone Gas Equipment Lost Heat Rate,Zone,Gas Equipment,Lost Heat Rate,Zone: Gas Equipment: Lost Heat Rate
Zone Gas Equipment NaturalGas Energy,Zone,Gas Equipment,NaturalGas Energy,Zone: Gas Equipment: NaturalGas Energy
Zone Gas Equipment NaturalGas Rate,Zone,Gas Equipment,NaturalGas Rate,Zone: Gas Equipment: NaturalGas Rate
Zone Gas Equipment Radiant Heating Energy,Zone,Gas Equipment,Radiant Heating Energy,Zone: Gas Equipment: Radiant Heating Energy
Zone Gas Equipment Radiant Heating Rate,Zone,Gas Equipment,Radiant Heating Rate,Zone: Gas Equipment: Radiant Heating Rate
Zone Gas Equipment Total Heating Energy,Zone,Gas Equipment,Total Heating Energy,Zone: Gas Equipment: Total Heating Energy
Zone Gas Equipment Total Heating Rate,Zone,Gas Equipment,Total Heating Rate,Zone: Gas Equipment: Total Heating Rate
Zone Generic Air Contaminant Generation Volume Flow Rate,Zone,Generic,Air Contaminant Generation Volume Flow Rate,Zone: Generic: Air Contaminant Generation Volume Flow Rate
Zone Hot Water Equipment Convective Heating Energy,Zone,Hot Water Equipment,Convective Heating Energy,Zone: Hot Water Equipment: Convective Heating Energy
Zone Hot Water Equipment Convective Heating Rate,Zone,Hot Water Equipment,Convective Heating Rate,Zone: Hot Water Equipment: Convective Heating Rate
Zone Hot Water Equipment District Heating Energy,Zone,Hot Water Equipment,District Heating Energy,Zone: Hot Water Equipment: District Heating Energy
Zone Hot Water Equipment District Heating Rate,Zone,Hot Water Equipment,District Heating Rate,Zone: Hot Water Equipment: District Heating Rate
Zone Hot Water Equipment Latent Gain Energy,Zone,Hot Water Equipment,Latent Gain Energy,Zone: Hot Water Equipment: Latent Gain Energy
Zone Hot Water Equipment Latent Gain Rate,Zone,Hot Water Equipment,Latent Gain Rate,Zone: Hot Water Equipment: Latent Gain Rate
Zone Hot Water Equipment Lost Heat Energy,Zone,Hot Water Equipment,Lost Heat Energy,Zone: Hot Water Equipment: Lost Heat Energy
Zone Hot Water Equipment Lost Heat Rate,Zone,Hot Water Equipment,Lost Heat Rate,Zone: Hot Water Equipment: Lost Heat Rate
Zone Hot Water Equipment Radiant Heating Energy,Zone,Hot Water Equipment,Radiant Heating Energy,Zone: Hot Water Equipment: Radiant Heating Energy
Zone Hot Water Equipment Radiant Heating Rate,Zone,Hot Water Equipment,Radiant Heating Rate,Zone: Hot Water Equipment: Radiant Heating Rate
Zone Hot Water Equipment Total Heating Energy,Zone,Hot Water Equipment,Total Heating Energy,Zone: Hot Water Equipment: Total Heating Energy
Zone Hot Water Equipment Total Heating Rate,Zone,Hot Water Equipment,Total Heating Rate,Zone: Hot Water Equipment: Total Heating Rate
Zone ITE Adjusted Return Air Temperature,Zone,ITE,Adjusted Return Air Temperature,Zone: ITE: Adjusted Return Air Temperature
Zone ITE Air Mass Flow Rate,Zone,ITE,Air Mass Flow Rate,Zone: ITE: Air Mass Flow Rate
Zone ITE Any Air Inlet Dewpoint Temperature Above Operating Range Time,Zone,ITE,Any Air Inlet Dewpoint Temperature Above Operating Range Time,Zone: ITE: Any Air Inlet Dewpoint Temperature Above Operating Range Time
Zone ITE Any Air Inlet Dewpoint Temperature Below Operating Range Time,Zone,ITE,Any Air Inlet Dewpoint Temperature Below Operating Range Time,Zone: ITE: Any Air Inlet Dewpoint Temperature Below Operating Range Time
Zone ITE Any Air Inlet Dry-Bulb Temperature Above Operating Range Time,Zone,ITE,Any Air Inlet Dry-Bulb Temperature Above Operating Range Time,Zone: ITE: Any Air Inlet Dry-Bulb Temperature Above Operating Range Time
Zone ITE Any Air Inlet Dry-Bulb Temperature Below Operating Range Time,Zone,ITE,Any Air Inlet Dry-Bulb Temperature Below Operating Range Time,Zone: ITE: Any Air Inlet Dry-Bulb Temperature Below Operating Range Time
Zone ITE Any Air Inlet Operating Range Exceeded Time,Zone,ITE,Any Air Inlet Operating Range Exceeded Time,Zone: ITE: Any Air Inlet Operating Range Exceeded Time
Zone ITE Any Air Inlet Relative Humidity Above Operating Range Time,Zone,ITE,Any Air Inlet Relative Humidity Above Operating Range Time,Zone: ITE: Any Air Inlet Relative Humidity Above Operating Range Time
Zone ITE Any Air Inlet Relative Humidity Below Operating Range Time,Zone,ITE,Any Air Inlet Relative Humidity Below Operating Range Time,Zone: ITE: Any Air Inlet Relative Humidity Below Operating Range Time
Zone ITE Average Supply Heat Index,Zone,ITE,Average Supply Heat Index,Zone: ITE: Average Supply Heat Index
Zone ITE CPU Electricity Energy,Zone,ITE,CPU Electricity Energy,Zone: ITE: CPU Electricity Energy
Zone ITE CPU Electricity Energy at Design Inlet Conditions,Zone,ITE,CPU Electricity Energy at Design Inlet Conditions,Zone: ITE: CPU Electricity Energy at Design Inlet Conditions
Zone ITE CPU Electricity Rate,Zone,ITE,CPU Electricity Rate,Zone: ITE: CPU Electricity Rate
Zone ITE CPU Electricity Rate at Design Inlet Conditions,Zone,ITE,CPU Electricity Rate at Design Inlet Conditions,Zone: ITE: CPU Electricity Rate at Design Inlet Conditions
Zone ITE Fan Electricity Energy,Zone,ITE,Fan Electricity Energy,Zone: ITE: Fan Electricity Energy
Zone ITE Fan Electricity Energy at Design Inlet Conditions,Zone,ITE,Fan Electricity Energy at Design Inlet Conditions,Zone: ITE: Fan Electricity Energy at Design Inlet Conditions
Zone ITE Fan Electricity Rate,Zone,ITE,Fan Electricity Rate,Zone: ITE: Fan Electricity Rate
Zone ITE Fan Electricity Rate at Design Inlet Conditions,Zone,ITE,Fan Electricity Rate at Design Inlet Conditions,Zone: ITE: Fan Electricity Rate at Design Inlet Conditions
Zone ITE Standard Density Air Volume Flow Rate,Zone,ITE,Standard Density Air Volume Flow Rate,Zone: ITE: Standard Density Air Volume Flow Rate
Zone ITE Total Heat Gain to Zone Energy,Zone,ITE,Total Heat Gain to Zone Energy,Zone: ITE: Total Heat Gain to Zone Energy
Zone ITE Total Heat Gain to Zone Rate,Zone,ITE,Total Heat Gain to Zone Rate,Zone: ITE: Total Heat Gain to Zone Rate
Zone ITE UPS Electricity Energy,Zone,ITE,UPS Electricity Energy,Zone: ITE: UPS Electricity Energy
Zone ITE UPS Electricity Rate,Zone,ITE,UPS Electricity Rate,Zone: ITE: UPS Electricity Rate
Zone ITE UPS Heat Gain to Zone Energy,Zone,ITE,UPS Heat Gain to Zone Energy,Zone: ITE: UPS Heat Gain to Zone Energy
Zone ITE UPS Heat Gain to Zone Rate,Zone,ITE,UPS Heat Gain to Zone Rate,Zone: ITE: UPS Heat Gain to Zone Rate
Zone Ideal Loads Economizer Active Time,Zone,Ideal Loads,Economizer Active Time,Zone: Ideal Loads: Economizer Active Time
Zone Ideal Loads Heat Recovery Active Time,Zone,Ideal Loads,Heat Recovery Active Time,Zone: Ideal Loads: Heat Recovery Active Time
Zone Ideal Loads Heat Recovery Latent Cooling Energy,Zone,Ideal Loads,Heat Recovery Latent Cooling Energy,Zone: Ideal Loads: Heat Recovery Latent Cooling Energy
Zone Ideal Loads Heat Recovery Latent Cooling Rate,Zone,Ideal Loads,Heat Recovery Latent Cooling Rate,Zone: Ideal Loads: Heat Recovery Latent Cooling Rate
Zone Ideal Loads Heat Recovery Latent Heating Energy,Zone,Ideal Loads,Heat Recovery Latent Heating Energy,Zone: Ideal Loads: Heat Recovery Latent Heating Energy
Zone Ideal Loads Heat Recovery Latent Heating Rate,Zone,Ideal Loads,Heat Recovery Latent Heating Rate,Zone: Ideal Loads: Heat Recovery Latent Heating Rate
Zone Ideal Loads Heat Recovery Sensible Cooling Energy,Zone,Ideal Loads,Heat Recovery Sensible Cooling Energy,Zone: Ideal Loads: Heat Recovery Sensible Cooling Energy
Zone Ideal Loads Heat Recovery Sensible Cooling Rate,Zone,Ideal Loads,Heat Recovery Sensible Cooling Rate,Zone: Ideal Loads: Heat Recovery Sensible Cooling Rate
Zone Ideal Loads Heat Recovery Sensible Heating Energy,Zone,Ideal Loads,Heat Recovery Sensible Heating Energy,Zone: Ideal Loads: Heat Recovery Sensible Heating Energy
Zone Ideal Loads Heat Recovery Sensible Heating Rate,Zone,Ideal Loads,Heat Recovery Sensible Heating Rate,Zone: Ideal Loads: Heat Recovery Sensible Heating Rate
Zone Ideal Loads Heat Recovery Total Cooling Energy,Zone,Ideal Loads,Heat Recovery Total Cooling Energy,Zone: Ideal Loads: Heat Recovery Total Cooling Energy
Zone Ideal Loads Heat Recovery Total Cooling Rate,Zone,Ideal Loads,Heat Recovery Total Cooling Rate,Zone: Ideal Loads: Heat Recovery Total Cooling Rate
Zone Ideal Loads Heat Recovery Total Heating Energy,Zone,Ideal Loads,Heat Recovery Total Heating Energy,Zone: Ideal Loads: Heat Recovery Total Heating Energy
Zone Ideal Loads Heat Recovery Total Heating Rate,Zone,Ideal Loads,Heat Recovery Total Heating Rate,Zone: Ideal Loads: Heat Recovery Total Heating Rate
Zone Ideal Loads Hybrid Ventilation Available Status,Zone,Ideal Loads,Hybrid Ventilation Available Status,Zone: Ideal Loads: Hybrid Ventilation Available Status
Zone Ideal Loads Outdoor Air Latent Cooling Energy,Zone,Ideal Loads,Outdoor Air Latent Cooling Energy,Zone: Ideal Loads: Outdoor Air Latent Cooling Energy
Zone Ideal Loads Outdoor Air Latent Cooling Rate,Zone,Ideal Loads,Outdoor Air Latent Cooling Rate,Zone: Ideal Loads: Outdoor Air Latent Cooling Rate
Zone Ideal Loads Outdoor Air Latent Heating Energy,Zone,Ideal Loads,Outdoor Air Latent Heating Energy,Zone: Ideal Loads: Outdoor Air Latent Heating Energy
Zone Ideal Loads Outdoor Air Latent Heating Rate,Zone,Ideal Loads,Outdoor Air Latent Heating Rate,Zone: Ideal Loads: Outdoor Air Latent Heating Rate
Zone Ideal Loads Outdoor Air Mass Flow Rate,Zone,Ideal Loads,Outdoor Air Mass Flow Rate,Zone: Ideal Loads: Outdoor Air Mass Flow Rate
Zone Ideal Loads Outdoor Air Sensible Cooling Energy,Zone,Ideal Loads,Outdoor Air Sensible Cooling Energy,Zone: Ideal Loads: Outdoor Air Sensible Cooling Energy
Zone Ideal Loads Outdoor Air Sensible Cooling Rate,Zone,Ideal Loads,Outdoor Air Sensible Cooling Rate,Zone: Ideal Loads: Outdoor Air Sensible Cooling Rate
Zone Ideal Loads Outdoor Air Sensible Heating Energy,Zone,Ideal Loads,Outdoor Air Sensible Heating Energy,Zone: Ideal Loads: Outdoor Air Sensible Heating Energy
Zone Ideal Loads Outdoor Air Sensible Heating Rate,Zone,Ideal Loads,Outdoor Air Sensible Heating Rate,Zone: Ideal Loads: Outdoor Air Sensible Heating Rate
Zone Ideal Loads Outdoor Air Standard Density Volume Flow Rate,Zone,Ideal Loads,Outdoor Air Standard Density Volume Flow Rate,Zone: Ideal Loads: Outdoor Air Standard Density Volume Flow Rate
Zone Ideal Loads Outdoor Air Total Cooling Energy,Zone,Ideal Loads,Outdoor Air Total Cooling Energy,Zone: Ideal Loads: Outdoor Air Total Cooling Energy
Zone Ideal Loads Outdoor Air Total Cooling Rate,Zone,Ideal Loads,Outdoor Air Total Cooling Rate,Zone: Ideal Loads: Outdoor Air Total Cooling Rate
Zone Ideal Loads Outdoor Air Total Heating Energy,Zone,Ideal Loads,Outdoor Air Total Heating Energy,Zone: Ideal Loads: Outdoor Air Total Heating Energy
Zone Ideal Loads Outdoor Air Total Heating Rate,Zone,Ideal Loads,Outdoor Air Total Heating Rate,Zone: Ideal Loads: Outdoor Air Total Heating Rate
Zone Ideal Loads Supply Air Latent Cooling Energy,Zone,Ideal Loads,Supply Air Latent Cooling Energy,Zone: Ideal Loads: Supply Air Latent Cooling Energy
Zone Ideal Loads Supply Air Latent Cooling Rate,Zone,Ideal Loads,Supply Air Latent Cooling Rate,Zone: Ideal Loads: Supply Air Latent Cooling Rate
Zone Ideal Loads Supply Air Latent Heating Energy,Zone,Ideal Loads,Supply Air Latent Heating Energy,Zone: Ideal Loads: Supply Air Latent Heating Energy
Zone Ideal Loads Supply Air Latent Heating Rate,Zone,Ideal Loads,Supply Air Latent Heating Rate,Zone: Ideal Loads: Supply Air Latent Heating Rate
Zone Ideal Loads Supply Air Mass Flow Rate,Zone,Ideal Loads,Supply Air Mass Flow Rate,Zone: Ideal Loads: Supply Air Mass Flow Rate
Zone Ideal Loads Supply Air Sensible Cooling Energy,Zone,Ideal Loads,Supply Air Sensible Cooling Energy,Zone: Ideal Loads: Supply Air Sensible Cooling Energy
Zone Ideal Loads Supply Air Sensible Cooling Rate,Zone,Ideal Loads,Supply Air Sensible Cooling Rate,Zone: Ideal Loads: Supply Air Sensible Cooling Rate
Zone Ideal Loads Supply Air Sensible Heating Energy,Zone,Ideal Loads,Supply Air Sensible Heating Energy,Zone: Ideal Loads: Supply Air Sensible Heating Energy
Zone Ideal Loads Supply Air Sensible Heating Rate,Zone,Ideal Loads,Supply Air Sensible Heating Rate,Zone: Ideal Loads: Supply Air Sensible Heating Rate
Zone Ideal Loads Supply Air Standard Density Volume Flow Rate,Zone,Ideal Loads,Supply Air Standard Density Volume Flow Rate,Zone: Ideal Loads: Supply Air Standard Density Volume Flow Rate
Zone Ideal Loads Supply Air Total Cooling Energy,Zone,Ideal Loads,Supply Air Total Cooling Energy,Zone: Ideal Loads: Supply Air Total Cooling Energy
Zone Ideal Loads Supply Air Total Cooling Fuel Energy,Zone,Ideal Loads,Supply Air Total Cooling Fuel Energy,Zone: Ideal Loads: Supply Air Total Cooling Fuel Energy
Zone Ideal Loads Supply Air Total Cooling Fuel Energy Rate,Zone,Ideal Loads,Supply Air Total Cooling Fuel Energy Rate,Zone: Ideal Loads: Supply Air Total Cooling Fuel Energy Rate
Zone Ideal Loads Supply Air Total Cooling Rate,Zone,Ideal Loads,Supply Air Total Cooling Rate,Zone: Ideal Loads: Supply Air Total Cooling Rate
Zone Ideal Loads Supply Air Total Heating Energy,Zone,Ideal Loads,Supply Air Total Heating Energy,Zone: Ideal Loads: Supply Air Total Heating Energy
Zone Ideal Loads Supply Air Total Heating Fuel Energy,Zone,Ideal Loads,Supply Air Total Heating Fuel Energy,Zone: Ideal Loads: Supply Air Total Heating Fuel Energy
Zone Ideal Loads Supply Air Total Heating Fuel Energy Rate,Zone,Ideal Loads,Supply Air Total Heating Fuel Energy Rate,Zone: Ideal Loads: Supply Air Total Heating Fuel Energy Rate
Zone Ideal Loads Supply Air Total Heating Rate,Zone,Ideal Loads,Supply Air Total Heating Rate,Zone: Ideal Loads: Supply Air Total Heating Rate
Zone Ideal Loads Zone Cooling Fuel Energy,Zone,Ideal Loads,Zone Cooling Fuel Energy,Zone: Ideal Loads: Zone Cooling Fuel Energy
Zone Ideal Loads Zone Cooling Fuel Energy Rate,Zone,Ideal Loads,Zone Cooling Fuel Energy Rate,Zone: Ideal Loads: Zone Cooling Fuel Energy Rate
Zone Ideal Loads Zone Heating Fuel Energy,Zone,Ideal Loads,Zone Heating Fuel Energy,Zone: Ideal Loads: Zone Heating Fuel Energy
Zone Ideal Loads Zone Heating Fuel Energy Rate,Zone,Ideal Loads,Zone Heating Fuel Energy Rate,Zone: Ideal Loads: Zone Heating Fuel Energy Rate
